latency,mean,sem,50_percentile,75_percentile,90_percentile,95_percentile
0,-0.0005643453988348893,0.00019260275221711645,0.0,0.0,0.0,0.0
2,0.00010540851127594411,1.3530237986285485e-05,0.0,0.0,1.4364613630394502e-05,0.00014157282637062717
4,0.0003360751665317425,0.0001478574490701264,0.0,1e-18,0.0001087716788849085,0.0004145207068035438
6,0.0004075703238900876,0.00014838584358214504,0.0,6.644892660645e-06,0.00019636893346707335,0.0006896755800886128
8,0.00045591175854452464,0.00014869697241124175,0.0,2.2078908900418e-05,0.0002845792082272912,0.0008487970403048699
10,0.0004979623297473914,0.0001489523213672938,1e-18,4.2e-05,0.00036780070788553935,0.0011327109285980007
12,0.0006395147450873101,0.00016530589001481223,1e-18,6.0490384276275255e-05,0.0004370434674741055,0.0013581450381834285
14,0.0006682906199255663,0.00016537040282159232,7.9225750005e-08,7.7941785996258e-05,0.0005037777973419817,0.001502405195421018
16,0.0006963101620699628,0.000165523783753315,6.047737091585e-07,9.2218e-05,0.000553646131664464,0.0016051300339873335
18,0.0007227425750075096,0.00016570863578480675,1.6220617761615e-06,0.000108226875,0.0006239215312135589,0.0017553499628147054
20,0.0008176367127977214,0.00017325364981742852,2.7804499999999998e-06,0.00012045541337935224,0.0006815518260965327,0.0018898735110240681
22,0.0008400333930523903,0.00017333072430536126,4.5361414209615e-06,0.00013,0.000737914233568982,0.002005098970082127
24,0.0008541329049742276,0.0001735373008040423,5.9512683913655e-06,0.00013339778370146223,0.0007956321550894679,0.0020925843672830314
26,0.0008799263428381041,0.00017379619173361942,8.370831375000001e-06,0.00014295754716697425,0.0008327161469792463,0.002163651810969561
28,0.0009065610878106961,0.0001740061577800483,9.996701324818e-06,0.0001604962157182175,0.0008896146788716524,0.002234772278880043
30,0.0009241382513405586,0.00017407117030444262,1.18651567156795e-05,0.00017054230152671352,0.0009693653285603265,0.002344849979841353
32,0.0009413251014717938,0.00017412067502771105,1.4261793574958501e-05,0.00018276120134746375,0.0010139628932047124,0.0024549635034908208
34,0.000956574521143773,0.0001741800532179346,1.6463890184026503e-05,0.00019175033822304102,0.0010680317886536679,0.0025292717117097446
36,0.0009760427018722343,0.00017427506231949483,1.9133167974405e-05,0.00020217997954380547,0.001118376913971338,0.0025980648104027494
38,0.0009974117338355623,0.0001747457339694939,2.1e-05,0.00021374529744291624,0.0011573969904613525,0.002728334119102167
40,0.001012493014376936,0.00017487314032597665,2.3609509810097997e-05,0.00022784660817105,0.001187081724968022,0.0027879853266897254
42,0.0010272360967762025,0.0001748977147028575,2.7018094119707e-05,0.00023484075498221126,0.0012426923276635398,0.002911838141242734
44,0.0010436621643005013,0.00017493376457425712,2.9920916538293e-05,0.0002442504361672515,0.0013016007336525354,0.003025430686252402
46,0.00105923272032328,0.00017500350087417402,3.29032965050105e-05,0.0002523179166420758,0.0013359642444864287,0.0030646152466275917
48,0.0010997375866846637,0.00017562414353832777,3.6370113137818e-05,0.00026508335440777575,0.0013784100187601712,0.003121316521555196
50,0.001122488984457986,0.0001776952082933986,3.9790652170145e-05,0.0002744842095011165,0.001431306808458622,0.0032215871359042945
52,0.0011401645402084031,0.00017798300977058966,4.2e-05,0.00028311457879646047,0.001469546167338512,0.0032467802352863975
54,0.0011620046056926023,0.00017873587647231843,4.3138146704537e-05,0.000293055732984769,0.0014973713973961099,0.0033790441255679886
56,0.0011750288981658052,0.00017877264478649593,4.5551013222732e-05,0.0003024087127892225,0.0015393378541084146,0.0034298257358025704
58,0.0011901590024754704,0.00017884278914225406,4.7851114717690506e-05,0.0003095541717819815,0.0015877491756547597,0.003501752918394058
60,0.0012045040012799977,0.00017890748875121397,5.1347365338195e-05,0.00032412662399133624,0.0016064608332709977,0.003533467364540053
62,0.0012208794733891172,0.00017911189668872747,5.38881816197485e-05,0.00033392616588709975,0.001631585401920671,0.003665889259926927
64,0.001233516098519237,0.00017917920833387347,5.72608706442435e-05,0.00034488106840229474,0.0016433068173163567,0.0037116268639633392
66,0.0012450945565838905,0.000179198710847858,6.0454973366862e-05,0.00035560644755772624,0.0016871340821762437,0.0037741680295545112
68,0.0012752165691527408,0.00019356424039434936,6.307335119004601e-05,0.000367826489655327,0.0017318983127101342,0.003860883954481104
70,0.0012896814744318564,0.0001936806986065431,6.5464031505975e-05,0.00037706956392189074,0.0017719292899341505,0.003931144485536644
72,0.0013066927912870144,0.00019383198989522378,6.875808664754451e-05,0.000387549581426623,0.0017944540539705596,0.004002209213268331
74,0.0013330731479893898,0.00019406326257108552,7.17719760755065e-05,0.00039798917657601603,0.0018208250959725627,0.004136863857332153
76,0.001353011789650603,0.000194273170401226,7.41972684964685e-05,0.00041220623607095974,0.001866170698889517,0.004205174069968724
78,0.0013650073964159317,0.00019430597631286517,7.719768778225651e-05,0.00042209226218316125,0.0018808006092511504,0.0043024872128609335
80,0.001382458269422619,0.0001945598674007189,8.05879733125265e-05,0.0004336536183236505,0.0019195525729655096,0.004343446764158249
82,0.0014015698964528708,0.00019497164722316683,8.39627686917315e-05,0.000442373641454525,0.0019858499885489584,0.004450037572203939
84,0.0014300513459003066,0.00019521997274900662,8.6421081104765e-05,0.00045559213772434023,0.00202104734063144,0.0045617748068502864
86,0.0014414306207215012,0.0001953564987981229,9.007112475560149e-05,0.000465570608571575,0.00205421657365184,0.004570056823736229
88,0.0014553280743253509,0.0001954792207017295,9.27650334532445e-05,0.00048044474505979425,0.0020781874164719116,0.004614858017259896
90,0.001471248987444218,0.00019553740105284192,9.5031496460069e-05,0.000490795988885557,0.0021010451946876876,0.004725186958706973
92,0.0014898581840384396,0.00019561998505074915,9.999499999998999e-05,0.0005048822402628235,0.002128812963874535,0.004813155169117021
94,0.0015081405711987784,0.00019605709724635062,0.0001020522151149255,0.0005121223306384802,0.0021464124901138036,0.004854136652416723
96,0.001521435035167394,0.0001960866635417047,0.000106069476555017,0.0005241953913266573,0.002179204628573668,0.004898321362692316
98,0.0015493207235773257,0.00019717859061246538,0.00010938050835177451,0.0005342642231090573,0.002232008870350827,0.004940928548339831
100,0.0015649218825551012,0.00019725433204154615,0.00011253044261866501,0.0005526345544230368,0.0022706722558655905,0.0050124254537612925
102,0.0015885781202277566,0.00019762423259494746,0.000116286467745747,0.0005620711762303732,0.002297486815339893,0.005043411285740445
104,0.001613267174189987,0.00019802370447574754,0.00012063866246560099,0.0005712700707442035,0.0023528018163340293,0.0050982607063620984
106,0.0016384624595545802,0.0001982125725250126,0.0001242846649267425,0.0005875975401384333,0.002396730883558917,0.005161488348963464
108,0.0016618863159811841,0.00019868477291075991,0.000126767655,0.0005960467817785118,0.002437465853194075,0.005218250251005292
110,0.0016789788373552195,0.0001987655035932687,0.00013,0.000610678943863198,0.0024835864696809698,0.005227715302205309
112,0.0017028294181143345,0.00019925758859248654,0.00013,0.0006253513378058441,0.0025107860317786696,0.005245865913938779
114,0.0017237442173670494,0.00019946492057498755,0.00013,0.0006322200142835343,0.0025447970606175896,0.005335572853861141
116,0.001742333017302631,0.00019966805225476167,0.00013125718588152498,0.000645728665184643,0.002569382960314857,0.0053645380912914235
118,0.001764413274505505,0.00020198001564096415,0.000134018765985557,0.0006561895692547953,0.002581185608593279,0.005394963547928615
120,0.0019072345431219318,0.00024392161263188223,0.0001363636226911085,0.0006605983216496807,0.0026096973120937257,0.005457504613810234
122,0.0019229267186152903,0.00024398432794748694,0.00013975644406461353,0.0006726838147223897,0.0026762206759111595,0.005488217542193142
124,0.0019341944173769047,0.00024399932307670025,0.000142238350876285,0.000685240589995674,0.0027006003899860908,0.005573500479329037
126,0.001947872760859968,0.0002443737312021123,0.000145913399733239,0.0006932362957497178,0.0027288337162159775,0.0055832860667995934
128,0.001962369966985223,0.0002444988619674859,0.00015061709268275,0.0007088367295227497,0.0027468894194246935,0.005615191022480895
130,0.001985945729686529,0.00024472585055595504,0.0001536683316206395,0.0007180977201631442,0.002789320732359362,0.005698012996407429
132,0.00200406329833489,0.00024495530195224027,0.000157827039451996,0.0007323354755125272,0.0028175752047997667,0.005737590338280032
134,0.00202943727131489,0.00024528683234448326,0.000161626551721147,0.0007494351775221355,0.002857739537966844,0.005812608924172494
136,0.0020520820679884887,0.0002470026202642588,0.00016641442297508,0.000758445681487275,0.0028983384241312773,0.005903332756202316
138,0.002076631717136734,0.0002481929411032665,0.0001704984119343165,0.0007883625586754875,0.0029565505403297996,0.005926227358451547
140,0.0020986587727236787,0.0002485047634084472,0.000175227248889046,0.0008015641718892095,0.0029873317084540916,0.0060876355949476095
142,0.00212053205761693,0.0002486928154211004,0.0001778402391758375,0.0008178638353268635,0.0030461547949792844,0.006142849059529563
144,0.002188317230355644,0.00027754770652752605,0.00018053942447914298,0.0008299476371483893,0.0030872588188063446,0.00623108406798017
146,0.0022014505544226603,0.00027758161723573474,0.00018595409857818002,0.0008352881066666372,0.003121845603351173,0.006311457881951499
148,0.0022554114761570245,0.00030369142570437803,0.000190727289150875,0.0008500175082348005,0.0031773915252554636,0.006372699280340073
150,0.0022885502036735436,0.00030435444311022045,0.0001956619761875375,0.0008630811920382701,0.0032204392830291083,0.006398002484442313
152,0.002303927750427006,0.00030438599116090444,0.000199995106711257,0.0008779793336961865,0.0032977929020112126,0.006475915663688829
154,0.002322809361425098,0.00030453149012140855,0.0002058492031281255,0.0008911296721000535,0.003332345660742175,0.00656817846610587
156,0.0023384918400827614,0.0003046124601021288,0.0002100961187586,0.0009020450906383258,0.003384928932895184,0.006629130175834293
158,0.0023489633373785543,0.00030465301831674135,0.00021371572870201698,0.0009096582354579221,0.0034119225799930457,0.006666481666794945
160,0.002366121289169036,0.0003047474720364228,0.0002192352639064545,0.000921899855056137,0.0034525643869523625,0.006693196042559641
162,0.0023889710694316507,0.00030598817648574625,0.000222569976440752,0.0009305472914849703,0.0035113306697556078,0.006751825573590477
164,0.0024131540766010816,0.00030613774353718733,0.000224655659244033,0.0009484382674327955,0.003543479153536444,0.006841428174548012
166,0.0024292232103030583,0.00030626145523427915,0.000229022808524945,0.0009583145895995268,0.0035763840929878125,0.006969891818644507
168,0.002474697356284097,0.00031117503338623964,0.0002314896650004825,0.0009671307024589108,0.0035946509125371474,0.007049638914763099
170,0.002490438456316643,0.0003113361261681711,0.000234498821774558,0.0009739652102750092,0.003627350885997807,0.00708774317101752
172,0.002509251302820708,0.0003115398039736366,0.00023676812723405299,0.0009860523319720367,0.0036652911908664717,0.0071538500238984325
174,0.0025400667379150217,0.0003153663381492384,0.000240529956710599,0.0009954116089674245,0.003710610832234278,0.007283822554281916
176,0.0025569669162858414,0.0003154305455636629,0.0002443011505180195,0.001015807187315415,0.003769939829272432,0.0074323562249008135
178,0.002633157076524926,0.00035406708281049686,0.00024757947971222496,0.001032907048748584,0.003802031219806975,0.007552835244910505
180,0.0026467040667020225,0.0003542148107863905,0.0002504653180659075,0.0010407382938325436,0.0038294443521853785,0.007602473700549656
182,0.0026649940204594986,0.00035437411824007086,0.00025407207115267,0.0010513781746566107,0.003850955612648454,0.007634186505303598
184,0.0026750916849077096,0.0003544357696752165,0.000257934063619788,0.0010656839424894086,0.0038609029182314135,0.007667927035641072
186,0.0026900996914730945,0.00035453037437989436,0.0002601144268334865,0.0010759173878864823,0.003899635201851841,0.0077155568929588745
188,0.0027066204064504825,0.00035460145463842593,0.000267269016017207,0.0010954256607643353,0.003932584316742429,0.007752514095007621
190,0.002718925565042517,0.00035466737723729834,0.0002722650191984315,0.0011076427835803046,0.003967506723715145,0.007824047858940936
192,0.0027938695358275868,0.0003985728137225564,0.0002763152289086735,0.0011245042801661606,0.004052170509067187,0.007895909826067997
194,0.0028055284750637833,0.00039861974862833875,0.0002793649994993995,0.001129772772075835,0.004091571311824977,0.007951414375484146
196,0.0028248524000101458,0.00039883954273314446,0.00028539286924437004,0.001150104100617555,0.004121172843720624,0.007971500949571123
198,0.002837622671234119,0.00039919549693937754,0.00029111324685537855,0.0011650492144368889,0.004132719777149138,0.008014829685873972
200,0.0028508006235167683,0.00039926861587101633,0.00029412432998429997,0.001175779362080023,0.004141013761438785,0.008077709049700992
202,0.0028687551937484645,0.00039932657643932133,0.0002978616170171365,0.001207860901347012,0.0041628571817224035,0.008193008685364416
204,0.00289403956593314,0.0003994311098885716,0.0003019923505161525,0.0012288732736430827,0.00421075330038506,0.008232975053264358
206,0.0029078362495589143,0.00039956716881040465,0.0003046937258374085,0.001244079587282153,0.004273564478254347,0.008298331036984557
208,0.0029289328472311697,0.0004002060903153598,0.0003084133601258565,0.0012643131809162186,0.004338229440870754,0.008385853991833952
210,0.0029492292978263493,0.0004003131376532414,0.0003141639733506565,0.0012738497595794938,0.004380391438499105,0.008418993305436159
212,0.002970020112258505,0.00040038295683517453,0.0003198082711866185,0.0012954358620348339,0.004405012148936512,0.00851406090633092
214,0.0029907128877850802,0.0004005753544659859,0.000324187625266183,0.001310295043006317,0.004451281503895383,0.008526525936921476
216,0.0030141435067415952,0.0004007289889181346,0.0003274829656138645,0.0013221712861090148,0.00446573145887991,0.00861399892382474
218,0.003027128940826041,0.0004007680712663246,0.00033176082047342,0.001335599466262995,0.00450613105440162,0.008693382943468391
220,0.0030478226701712375,0.00040087369741601605,0.00033662573542065505,0.0013485506544544405,0.004583571060161297,0.008816065630704684
222,0.0030672808597237253,0.00040100720655797265,0.000339516744767185,0.0013605853003657924,0.00462246472582246,0.008920181056711614
224,0.0031171848968111118,0.00042923152475856367,0.000342834777087731,0.001377719755745487,0.0046513515515597915,0.009014913407760582
226,0.0031519932671324274,0.0004356599410763847,0.0003475058292488875,0.0013845541686049497,0.004698321616556774,0.009148500606641057
228,0.0031688203586949844,0.0004356914047836637,0.00035036509157822054,0.001398533680890217,0.004718251809948949,0.00926386342948942
230,0.003188115703619086,0.0004359624781484763,0.00035543866281888953,0.001409528269585135,0.004739286921400601,0.009306816862743015
232,0.0032103529985916075,0.00043629566155162203,0.0003604231879888105,0.0014256576713032095,0.004757016157740527,0.009331008923743974
234,0.0032339082195137004,0.00043652633779299574,0.0003663982359325825,0.001433593472465481,0.004764607117409362,0.009347532309821268
236,0.003262297810462653,0.00043702392990539816,0.000371064582667398,0.0014464406553841955,0.0048023728759688505,0.009414494395686495
238,0.0032805320033325023,0.00043710994225109765,0.0003769364760813005,0.0014621602336851742,0.004863717875294905,0.009537183885870602
240,0.003298094665682737,0.0004371556469358421,0.00037881283154916196,0.001472013316686523,0.004886196962662602,0.009668414619022661
242,0.0033104238718941366,0.00043719703001920496,0.000383362273223985,0.0014879577768091407,0.0049094089238391715,0.009703193810069743
244,0.003325305553384934,0.0004372545760757174,0.00038653665219502004,0.001502685380603191,0.004961435768397923,0.00974030519054097
246,0.0033378395435564143,0.0004373215243920081,0.00039370071687139653,0.0015137109835814126,0.004997338269084259,0.009754131079304123
248,0.0033609727517183723,0.0004375512120264537,0.000399732710272059,0.001527495782371541,0.0050259726896507975,0.009828495534753623
250,0.0033760819298683385,0.00043760159253345706,0.00040334502893985696,0.0015406566683107933,0.00504105338209412,0.01003126786059734
