proftxgas,inclusionrate,feeoverhead
1746000,0.7,0.0023844735600486856
1771000,0.7,0.0023508135719057057
1796000,0.7,0.0023180906658379764
1821000,0.7,0.002286266247031853
1846000,0.7,0.0022553038114003277
1871000,0.7,0.002483729613160415
1896000,0.7,0.002450980013830768
1921000,0.7,0.002419082824686692
1946000,0.7,0.002388005193331519
1971000,0.7,0.0023577159341568424
1996000,0.7,0.002328185423959487
2021000,0.7,0.0022993855053058563
2046000,0.7,0.002448462395213138
2071000,0.7,0.0024189058718522842
2096000,0.7,0.002390054418228092
2121000,0.7,0.0023618831025959833
2146000,0.7,0.0023343681549888536
2171000,0.7,0.002307486900325233
2196000,0.7,0.0022812176960865576
2221000,0.7,0.002255539874203548
2246000,0.7,0.002529252660528655
2271000,0.7,0.0025014097206285156
2296000,0.7,0.0024741731165275954
2321000,0.7,0.0024475232552983017
2346000,0.7,0.0024214413791761973
2371000,0.7,0.0023959095215298856
2396000,0.7,0.0023709104655873785
2421000,0.7,0.0023464277057196857
2446000,0.7,0.0025030533700895604
2471000,0.7,0.0024777290745605276
2496000,0.7,0.0024529120766182146
2521000,0.7,0.002428587284109109
2546000,0.7,0.0024047401976587056
2571000,0.7,0.002381356881851056
2596000,0.7,0.0023584239380735994
2621000,0.7,0.002505424701781172
2646000,0.7,0.0024817528886502084
2671000,0.7,0.002458524201935025
2696000,0.7,0.0024357263143058054
2721000,0.7,0.0024133473514768287
2746000,0.7,0.002391375871583558
2771000,0.7,0.002369800845676092
2796000,0.7,0.0023486116392591023
2821000,0.7,0.0024550835002473295
2846000,0.7,0.0024335174118755155
2871000,0.7,0.0024123269084631548
2896000,0.7,0.0023915022631898195
2921000,0.7,0.002371034082231331
2946000,0.7,0.0023509132906305895
2971000,0.7,0.0023311311188817627
2996000,0.7,0.0024506953706870155
21000,0.71,0.0029151853391639923
46000,0.71,0.0013308454809226923
71000,0.71,0.0008622379172175189
96000,0.71,0.0006376967929421233
121000,0.71,0.0005059412572102796
146000,0.71,0.0027585907983901517
171000,0.71,0.002355288050087498
196000,0.71,0.0020548686559436844
221000,0.71,0.0018224174505201906
246000,0.71,0.0016372124250608217
271000,0.71,0.0014861780685053953
296000,0.71,0.0013606562721789261
321000,0.71,0.0012546861575232465
346000,0.71,0.00270559104946985
371000,0.71,0.002523273593306113
396000,0.71,0.0023639760179711314
421000,0.71,0.002223597394576171
446000,0.71,0.0020989562850147266
471000,0.71,0.001987546715746429
496000,0.71,0.0018873679498317903
521000,0.71,0.0017968032689377506
546000,0.71,0.0026299074304385675
571000,0.71,0.002514762621750364
596000,0.71,0.002409277612448755
621000,0.71,0.0023122857600957453
646000,0.71,0.0022228010170579843
671000,0.71,0.002139984287659401
696000,0.71,0.002063117035947497
721000,0.71,0.002765589130348679
746000,0.71,0.0026729085294656804
771000,0.71,0.0025862383436853404
796000,0.71,0.002505012265052007
821000,0.71,0.002428732963436538
846000,0.71,0.0023569618947770657
871000,0.71,0.0022893108645021787
896000,0.71,0.0022254350033274525
921000,0.71,0.0027494768833416666
946000,0.71,0.002676816289173018
971000,0.71,0.0026078972292046085
996000,0.71,0.002542437961403288
1021000,0.71,0.00248018433845022
1046000,0.71,0.0024209065100933794
1071000,0.71,0.002364396087355439
1096000,0.71,0.00283482555851745
1121000,0.71,0.002771604649540701
1146000,0.71,0.0027111420699259385
1171000,0.71,0.002653261154684138
1196000,0.71,0.002597800010146426
1221000,0.71,0.00254461000174867
1246000,0.71,0.002493554423864467
1271000,0.71,0.00244450732662087
1296000,0.71,0.002832880148407232
1321000,0.71,0.002779267730761372
1346000,0.71,0.0027276468590904704
1371000,0.71,0.0026779085866781714
1396000,0.71,0.002629951771014164
1421000,0.71,0.002583682387287666
1446000,0.71,0.0025390129130952784
1471000,0.71,0.002495861775891076
1496000,0.71,0.002782918381736384
1521000,0.71,0.0027371767909780604
1546000,0.71,0.002692914553090317
1571000,0.71,0.0026500610433339467
1596000,0.71,0.0026085500620787157
1621000,0.71,0.002568319493570407
1646000,0.71,0.002529310995794429
1671000,0.71,0.0028139138849717386
1696000,0.71,0.002772435201525811
1721000,0.71,0.002732161593136418
1746000,0.71,0.002693041295411097
1771000,0.71,0.0026550254668479814
1796000,0.71,0.00261806798540522
1821000,0.71,0.0025821252618274436
1846000,0.71,0.002547156068140723
1871000,0.71,0.002778712483529193
1896000,0.71,0.0027420733421324468
1921000,0.71,0.0027063878483514414
1946000,0.71,0.002671619248038602
1971000,0.71,0.0026377326517925516
1996000,0.71,0.0026046949181779155
2021000,0.71,0.002572474545612627
2046000,0.71,0.0027855980466143498
2071000,0.71,0.002751971802690951
2096000,0.71,0.0027191477115329006
2121000,0.71,0.0026870974084738136
2146000,0.71,0.0026557938505931775
2171000,0.71,0.002625211240613984
2196000,0.71,0.0025953249559986153
