latency,mean,sem,50_percentile,75_percentile,90_percentile,95_percentile
90,0.0016716647194529482,0.00044422834613293873,8.1668131475927e-05,0.0004449273759678658,0.0019375415180623386,0.004374313645942856
92,0.0016907314200576915,0.0004442956025316146,8.510588065785299e-05,0.0004569515798490835,0.0019786041101978523,0.004417455854265372
94,0.0017034762358274452,0.0004443041705569575,8.79895e-05,0.0004679809185488655,0.0020182335612302445,0.004478405680611331
96,0.0017156182268193013,0.00044431849012503027,9.22710227800785e-05,0.00048402980962986876,0.0020594230802668217,0.004513711491628784
98,0.001726853736428972,0.00044433196469330236,9.60889606590875e-05,0.0004949032440052795,0.002078356449806818,0.004567014427569198
100,0.0017383146780368933,0.00044434263303171816,0.0001,0.000506622050348782,0.002108309134214597,0.004648885334130975
102,0.0017565513520873591,0.0004443823440428032,0.00010251801093953,0.000517141578357761,0.002133841724066147,0.00474188510591426
104,0.0017671619983089834,0.0004443841693416122,0.0001054718893213525,0.0005311951319088592,0.0021700010323628086,0.004808883556902199
106,0.0017775585120330146,0.00044440162672446847,0.00010885997852064,0.0005402674580717278,0.00220462123014237,0.004817366230165954
108,0.0017976885294618565,0.0004445201452311689,0.000111994764573412,0.0005502724345331393,0.0022363177375420897,0.0049044483702640985
110,0.0018106425227478141,0.0004445307171160752,0.000116471845122619,0.0005572021776557685,0.0022607515250150367,0.0049884082260622095
112,0.0018227639878477064,0.0004445523919640303,0.0001201816110865445,0.0005652679889313602,0.002280103626296193,0.005021279913343405
114,0.001833626461915863,0.0004445785836629015,0.00012403118816899702,0.0005756800904138768,0.0023095365974454356,0.005034391469826569
116,0.0018509574004144079,0.0004446203899055853,0.000127125132299056,0.0005900777152852865,0.0023510079168836914,0.005067383368718081
118,0.001882289827534543,0.00044512338280175347,0.00013,0.0006009814477205247,0.0023747839218707474,0.005124107266347242
120,0.00189494467307121,0.0004451477076531339,0.00013,0.0006108297010415483,0.002413779835341163,0.005132625591615566
122,0.0019175671152915981,0.0004452067928327635,0.00013,0.000617802168975913,0.002466814863106474,0.005181354444642228
124,0.0019307758946050498,0.00044522653568355433,0.00013002444207925,0.0006397660305196732,0.0025006526512464542,0.005224097024916447
126,0.0019431892567673718,0.0004452608659712653,0.000132675744536447,0.0006481637768433735,0.002509074097304034,0.005249460643317588
128,0.0019583271653986593,0.00044533406142340475,0.0001360305092009915,0.0006622246954340355,0.002551525921610406,0.005289219665349564
130,0.001977052210916907,0.0004453681152084564,0.0001383299445342725,0.0006730142665485683,0.002577360541615158,0.005372304451338885
132,0.0020809958464749526,0.0004560094580260288,0.0001419341769408645,0.0006838356899077668,0.0026104214041257675,0.005410134130318365
134,0.0020934179967825916,0.0004560160156033399,0.000145574246730791,0.0006960167274303248,0.0026378661088787307,0.00543630657301505
136,0.0021056624229500425,0.00045607110504626005,0.00014948061029900498,0.0007097204869608855,0.002663752240112548,0.0055362766060234585
138,0.0021182872346908414,0.00045610492458279177,0.000152799900992295,0.0007212781466877545,0.0026709821058430515,0.0055853740105561095
140,0.0021313926936260908,0.00045611841720621786,0.0001578662935415595,0.0007342808816985878,0.0026905719813329655,0.005652423051812641
142,0.002143951611541544,0.00045614118896679536,0.0001615226808361175,0.0007407510445445845,0.0027094542929733,0.0057116417747516005
144,0.0021885313532117416,0.0004567713528776513,0.00016629003973703,0.0007545923885052015,0.002748586786092791,0.005801814969600097
146,0.0022054999077891456,0.00045683753504229105,0.00017049991377307252,0.0007610797952091106,0.002785959384510452,0.00585680424925782
