proftxgas,inclusionrate,feeoverhead
21000,0.6,0.0
46000,0.6,0.0
71000,0.6,0.0
96000,0.6,0.0
121000,0.6,0.0
146000,0.6,0.0
171000,0.6,0.0
196000,0.6,0.0
221000,0.6,0.0
246000,0.6,0.0
271000,0.6,0.0
296000,0.6,0.0
321000,0.6,0.0
346000,0.6,2.0937760508838054e-07
371000,0.6,1.9526860205007996e-07
396000,0.6,1.829410387893426e-07
421000,0.6,1.7207755667596121e-07
446000,0.6,1.624319537232728e-07
471000,0.6,1.5381030012861925e-07
496000,0.6,6.940074346718023e-06
521000,0.6,6.607057343516582e-06
546000,0.6,6.304536402879376e-06
571000,0.6,6.028505912385532e-06
596000,0.6,5.775632342235133e-06
621000,0.6,5.5431189629180985e-06
646000,0.6,2.8718941338921293e-05
671000,0.6,2.764893607294062e-05
696000,0.6,2.6655799001355107e-05
721000,0.6,2.573153412613475e-05
746000,0.6,2.4869217298851417e-05
771000,0.6,2.4062822444803055e-05
796000,0.6,4.332422358486168e-05
821000,0.6,4.200497195316674e-05
846000,0.6,4.076369027606371e-05
871000,0.6,3.959366472278978e-05
896000,0.6,3.848893077405122e-05
921000,0.6,3.744417152394126e-05
946000,0.6,6.345491971975763e-05
971000,0.6,6.182116792470722e-05
996000,0.6,6.026943178201879e-05
1021000,0.6,5.879368663554429e-05
1046000,0.6,5.738848380008673e-05
1071000,0.6,5.604888333789983e-05
1096000,0.6,8.170088737945135e-05
1121000,0.6,7.987883369123879e-05
1146000,0.6,7.813627623724144e-05
1171000,0.6,7.646812345677088e-05
1196000,0.6,7.486970950491529e-05
1221000,0.6,7.333675066984332e-05
1246000,0.6,9.498503990636336e-05
1271000,0.6,9.311672676894472e-05
1296000,0.6,9.132049361367957e-05
1321000,0.6,8.959224808730411e-05
1346000,0.6,8.792820187468703e-05
1371000,0.6,8.632484297835793e-05
1396000,0.6,0.00011628273250491466
1421000,0.6,0.00011423694199638344
1446000,0.6,0.00011226189113199231
1471000,0.6,0.00011035397319976945
1496000,0.6,0.00010850982257811555
1521000,0.6,0.00010672629492232798
1546000,0.6,0.00010500044927351932
1571000,0.6,0.0001325623210606749
1596000,0.6,0.00013048584360045128
1621000,0.6,0.00012847341541413957
1646000,0.6,0.00012652211809618483
1671000,0.6,0.00012462920789127482
1696000,0.6,0.0001227921028221228
1721000,0.6,0.00015292412412935954
1746000,0.6,0.0001507344889041396
1771000,0.6,0.00014860667285523872
1796000,0.6,0.00014653809444689742
1821000,0.6,0.00014452631390808775
1846000,0.6,0.00014256902363305948
1871000,0.6,0.00016533837175686505
1896000,0.6,0.00016315827719256038
1921000,0.6,0.00016103492637016892
1946000,0.6,0.00015896613235205265
1971000,0.6,0.0001569498191563138
1996000,0.6,0.00015498401480816356
2021000,0.6,0.0001772434499887844
2046000,0.6,0.0001750777186839361
2071000,0.6,0.00017296427446998226
2096000,0.6,0.00017090124638708648
2121000,0.6,0.00016888685168662577
2146000,0.6,0.00016691939069307237
2171000,0.6,0.00019213324556926936
2196000,0.6,0.0001899459363073241
2221000,0.6,0.0001878078685866203
2246000,0.6,0.00018571739809923588
2271000,0.6,0.00018367295294182464
2296000,0.6,0.00018167302967372987
2321000,0.6,0.00020621400778818896
2346000,0.6,0.00020401650131133276
2371000,0.6,0.00020186533617730352
2396000,0.6,0.00019975906180149693
2421000,0.6,0.0001976962875160622
