proftxgas,inclusionrate,feeoverhead
1621000,0.7,0.0008835698493202769
1646000,0.7,0.0008701498941361901
1671000,0.7,0.0009525813588226423
1696000,0.7,0.000938539770396601
1721000,0.7,0.0009249061305012406
1746000,0.7,0.000911662915574247
1771000,0.7,0.0008987935915260504
1796000,0.7,0.0008862825448734049
1821000,0.7,0.0008741150195456536
1846000,0.7,0.000862277058825913
1871000,0.7,0.0009552085204596147
1896000,0.7,0.0009426134714029215
1921000,0.7,0.0009303462476730553
1946000,0.7,0.0009183942146865052
1971000,0.7,0.0009067453788837844
1996000,0.7,0.0008953883475851398
2021000,0.7,0.0008843122918257987
2046000,0.7,0.0009856636601974717
2071000,0.7,0.0009737652577325092
2096000,0.7,0.0009621506912042112
2121000,0.7,0.0009508099239811537
2146000,0.7,0.0009397333871221001
2171000,0.7,0.0009289119524477323
2196000,0.7,0.0009183369074517426
2221000,0.7,0.0009079999319063606
2246000,0.7,0.0009724907873131282
2271000,0.7,0.0009617852524461849
2296000,0.7,0.0009513128520493406
2321000,0.7,0.0009410660526950823
2346000,0.7,0.0009310376420738645
2371000,0.7,0.0009212207120646503
2396000,0.7,0.0009116086428653114
2421000,0.7,0.0009021950881062726
2446000,0.7,0.0009640770444721439
2471000,0.7,0.0009543231286033444
2496000,0.7,0.0009447646036774294
2521000,0.7,0.000935395656794472
2546000,0.7,0.000926210703369546
2571000,0.7,0.0009172043760322302
2596000,0.7,0.0009083715141675131
2621000,0.7,0.000982359742388636
2646000,0.7,0.0009730781877553343
2671000,0.7,0.0009639703799328395
2696000,0.7,0.0009550314854601685
2721000,0.7,0.0009462568485118024
2746000,0.7,0.0009376419828115858
2771000,0.7,0.000929182563984343
2796000,0.7,0.0009208744223178164
2821000,0.7,0.0009839171946640674
2846000,0.7,0.0009752742115767159
2871000,0.7,0.0009667817506608615
2896000,0.7,0.000958435913724908
2921000,0.7,0.000950232936031268
2946000,0.7,0.0009421691806338539
2971000,0.7,0.0009342411330014585
2996000,0.7,0.0009720193562300454
21000,0.71,0.0016491913150848147
46000,0.71,0.0007528916873213284
71000,0.71,0.0004877889805180438
96000,0.71,0.0003607606001748032
121000,0.71,0.0002862232860891001
146000,0.71,0.0009160968689171963
171000,0.71,0.0007821645781398285
196000,0.71,0.0006823986880709728
221000,0.71,0.0006052042663434872
246000,0.71,0.0005436997677313441
271000,0.71,0.0004935429625900763
296000,0.71,0.0004518585907496982
321000,0.71,0.00041666711171934787
346000,0.71,0.0008526480865603001
371000,0.71,0.0007951920160373688
396000,0.71,0.0007449904998733935
421000,0.71,0.0007007511590258048
446000,0.71,0.0006614713855378113
471000,0.71,0.0006263614393839995
496000,0.71,0.0005947908023182738
521000,0.71,0.0005662499768711398
546000,0.71,0.000939093532128057
571000,0.71,0.0008979773529630807
596000,0.71,0.0008603105176877837
621000,0.71,0.0008256764388758761
646000,0.71,0.0007937230163187602
671000,0.71,0.0007641506237584487
696000,0.71,0.0007367026846866653
721000,0.71,0.001006637300142152
746000,0.71,0.0009729028061695597
771000,0.71,0.0009413560225713249
796000,0.71,0.0009117908208574014
821000,0.71,0.0008840261795401846
846000,0.71,0.0008579024744710301
871000,0.71,0.0008332784080395998
896000,0.71,0.0008100284524581378
921000,0.71,0.0010370882357228165
946000,0.71,0.0010096810413326787
971000,0.71,0.0009836851339863173
996000,0.71,0.00095899424206899
1021000,0.71,0.0009355125025472224
1046000,0.71,0.0009131532171134933
1071000,0.71,0.0008918377825403493
1096000,0.71,0.0011020929743876552
1121000,0.71,0.001077514629731374
1146000,0.71,0.0010540086386813877
1171000,0.71,0.001031506319324398
1196000,0.71,0.0010099447323819984
1221000,0.71,0.0009892660933078382
1246000,0.71,0.000969417255159607
1271000,0.71,0.0009503492525010781
1296000,0.71,0.0011071711049505937
1321000,0.71,0.0010862178289295758
1346000,0.71,0.001066042906401166
1371000,0.71,0.0010466037578526401
1396000,0.71,0.0010278608538796343
1421000,0.71,0.0010097774468796408
1446000,0.71,0.0009923193305781256
1471000,0.71,0.000975454624076118
1496000,0.71,0.0010763041596525851
1521000,0.71,0.0010586134272454093
1546000,0.71,0.001041494840129539
1571000,0.71,0.0010249210839212396
1596000,0.71,0.001008866555664328
1621000,0.71,0.0009933072318570435
1646000,0.71,0.0009782205485056304
1671000,0.71,0.0010803084135305458
1696000,0.71,0.0010643840560197774
1721000,0.71,0.001048922346896887
1746000,0.71,0.001033903412949337
1771000,0.71,0.0010193085031109782
1796000,0.71,0.0010051199103616607
1821000,0.71,0.000991320900060155
1846000,0.71,0.0009778956441005105
1871000,0.71,0.001074800917541858
1896000,0.71,0.0010606289645151985
1921000,0.71,0.001046825880645922
1946000,0.71,0.0010333774494968224
1971000,0.71,0.0010202701759111194
1996000,0.71,0.0010074912408420923
2021000,0.71,0.0009950284595352877
2046000,0.71,0.001113775376185283
2071000,0.71,0.0011003304778730513
2096000,0.71,0.0010872063070968938
2121000,0.71,0.0010743915227133848
2146000,0.71,0.0010618753120573575
2171000,0.71,0.0010496473605136293
2196000,0.71,0.0010376978231671627
2221000,0.71,0.0010260172983678926
2246000,0.71,0.001116469346167326
2271000,0.71,0.0011041788425767566
2296000,0.71,0.0010921559893257032
2321000,0.71,0.0010803921376526559
2346000,0.71,0.0010688790074560163
2371000,0.71,0.0010576086678582093
2396000,0.71,0.001046573518986567
2421000,0.71,0.0010357662748830296
2446000,0.71,0.0010978250095742036
2471000,0.71,0.001086717917207002
2496000,0.71,0.0010758333226836946
2521000,0.71,0.0010651646066713613
2546000,0.71,0.0010547054098265915
2571000,0.71,0.0010444496201549988
2596000,0.71,0.001034391361101118
2621000,0.71,0.001101843258366891
2646000,0.71,0.0010914327967421092
2671000,0.71,0.0010812172145936434
2696000,0.71,0.0010711910905710762
2721000,0.71,0.001061349202565094
2746000,0.71,0.001051686518637881
2771000,0.71,0.0010421981884444682
2796000,0.71,0.0010328795351143138
2821000,0.71,0.001072346915961899
2846000,0.71,0.0010629271433339838
2871000,0.71,0.0010536714210827298
2896000,0.71,0.0010445755006659246
2921000,0.71,0.0010356352789895643
2946000,0.71,0.001026846792236428
2971000,0.71,0.001018206210006233
2996000,0.71,0.0010691875721342298
21000,0.72,0.0030437771123354943
46000,0.72,0.0013895504208488126
71000,0.72,0.0009002721036485265
96000,0.72,0.0006658262433233894
121000,0.72,0.000528258837678061
146000,0.72,0.0013944944315226388
171000,0.72,0.0011906209766216682
196000,0.72,0.0010387560561342106
221000,0.72,0.0009212497149425578
246000,0.72,0.0008276267764321352
271000,0.72,0.0007512774428129345
296000,0.72,0.0006878249560888692
321000,0.72,0.0006342560342750943
346000,0.72,0.0011278853517419593
371000,0.72,0.0010518822956946574
396000,0.72,0.0009854755851078736
421000,0.72,0.0009269556572511113
446000,0.72,0.0008749962594231343
471000,0.72,0.000828552721237193
496000,0.72,0.0007867909913361248
521000,0.72,0.0007490371049956198
546000,0.72,0.0011657222924097161
571000,0.72,0.0011146836631448424
596000,0.72,0.001067926798080042
621000,0.72,0.0010249345759351129
646000,0.72,0.0009852699251636302
671000,0.72,0.0009485609115584278
696000,0.72,0.0009144890397352084
721000,0.72,0.0012127306503856932
746000,0.72,0.0011720895427990412
771000,0.72,0.001134084045302315
796000,0.72,0.0010984658277991015
821000,0.72,0.0010650168074641715
846000,0.72,0.0010335446795840244
871000,0.72,0.0010038792180575024
896000,0.72,0.0009758691952322374
921000,0.72,0.00121646171160054
946000,0.72,0.0011843142033658534
971000,0.72,0.0011538220766056616
996000,0.72,0.0011248606791004995
1021000,0.72,0.0010973175674672843
1046000,0.72,0.0010710910481683531
1071000,0.72,0.0010460889228609686
1096000,0.72,0.0012784746893647145
1121000,0.72,0.0012499627649810233
1146000,0.72,0.001222694816355783
1171000,0.72,0.0011965911695505783
1196000,0.72,0.0011715788123275311
1221000,0.72,0.0011475907121570247
1246000,0.72,0.0011245652163272288
1271000,0.72,0.0011024455228510835
1296000,0.72,0.0012471134736559547
1321000,0.72,0.0012235117803619361
1346000,0.72,0.0012007868215884972
1371000,0.72,0.001178890635928605
1396000,0.72,0.0011577786976061013
1421000,0.72,0.0011374096142562403
1446000,0.72,0.0011177448560567894
1471000,0.72,0.0010987485124800255
1496000,0.72,0.0012565861562844334
1521000,0.72,0.0012359322089424802
1546000,0.72,0.0012159462417862307
1571000,0.72,0.0011965963652460297
1596000,0.72,0.0011778526878455592
1621000,0.72,0.00115968716212308
1646000,0.72,0.0011420734445938714
1671000,0.72,0.001231209299622437
1696000,0.72,0.0012130605776350778
1721000,0.72,0.0011954391282214363
1746000,0.72,0.0011783223022159746
1771000,0.72,0.00116168872934449
1796000,0.72,0.0011455182292144164
1821000,0.72,0.001129791729637063
1846000,0.72,0.0011144911915867237
1871000,0.72,0.0012179226113894835
1896000,0.72,0.0012018635052266477
1921000,0.72,0.001186222387251288
1946000,0.72,0.0011709831479494984
1971000,0.72,0.0011561304951343094
1996000,0.72,0.0011416499027603827
2021000,0.72,0.001127527563537716
2046000,0.72,0.0012736584478815155
2071000,0.72,0.0012582835269751718
2096000,0.72,0.0012432753742202198
2121000,0.72,0.0012286210204458183
2146000,0.72,0.0012143081008227311
2171000,0.72,0.001200324820067057
2196000,0.72,0.001186659920020756
2221000,0.72,0.0011733026494216933
2246000,0.72,0.0012536724285539449
2271000,0.72,0.0012398715431669572
2296000,0.72,0.001226371199709129
2321000,0.72,0.0012131616865713745
2346000,0.72,0.0012002337061091902
2371000,0.72,0.0011875783528182877
2396000,0.72,0.0011751870928765277
2421000,0.72,0.001163051744953391
2446000,0.72,0.0012198198313017683
2471000,0.72,0.001207478473235178
2496000,0.72,0.001195384337886268
2521000,0.72,0.0011835300703546708
2546000,0.72,0.0011719086046206304
2571000,0.72,0.001160513149499854
2596000,0.72,0.0011493371754099095
2621000,0.72,0.0012033008559499494
2646000,0.72,0.0011919318002436951
2671000,0.72,0.0011807755684930053
2696000,0.72,0.0011698262401501549
2721000,0.72,0.0011590781122546188
2746000,0.72,0.0011485256895283384
2771000,0.72,0.0011381636750071517
2796000,0.72,0.0011279869611748275
2821000,0.72,0.0011932618600265384
2846000,0.72,0.001182779939260318
2871000,0.72,0.0011724805667484726
2896000,0.72,0.0011623590148946356
2921000,0.72,0.0011524107179509981
2946000,0.72,0.0011426312651510065
2971000,0.72,0.0011330163941887799
2996000,0.72,0.001182331514145281
21000,0.73,0.004654406452828367
46000,0.73,0.002124837728465124
71000,0.73,0.0013766554297097986
96000,0.73,0.0010181514115562053
121000,0.73,0.0008077895496644273
146000,0.73,0.0019937027343803673
171000,0.73,0.0017022257264300213
196000,0.73,0.001485105098058845
221000,0.73,0.0013171067837987947
246000,0.73,0.001183254468372088
271000,0.73,0.0010740981521016
296000,0.73,0.0009833804027686948
321000,0.73,0.0009067931439860861
346000,0.73,0.0014634123952879752
371000,0.73,0.0013647997001877074
396000,0.73,0.001278638102953635
421000,0.73,0.0012027094745122077
446000,0.73,0.0011352930241471737
471000,0.73,0.0010750333094896804
496000,0.73,0.001020848162842015
521000,0.73,0.0009718631262373117
546000,0.73,0.0014141422515731995
571000,0.73,0.0013522270916969648
596000,0.73,0.0012955061566425619
621000,0.73,0.0012433521245716053
646000,0.73,0.0011952347822894224
671000,0.73,0.0011507029349612026
696000,0.73,0.0011093702145962168
721000,0.73,0.0014650916487257977
746000,0.73,0.0014159934031250671
771000,0.73,0.0013700792201443582
796000,0.73,0.001327049093883543
821000,0.73,0.0012866395599650429
846000,0.73,0.0012486182963726952
871000,0.73,0.0012127796541117107
896000,0.73,0.0011789409360840404
921000,0.73,0.0014364305406742287
946000,0.73,0.0013984699027071508
971000,0.73,0.001362463983481941
996000,0.73,0.0013282655903222539
1021000,0.73,0.0012957419470724435
1046000,0.73,0.001264772971281993
1071000,0.73,0.0012352497926806393
1096000,0.73,0.0014564530039396753
1121000,0.73,0.0014239718932362929
1146000,0.73,0.0013929079339597594
1171000,0.73,0.001363170360647211
1196000,0.73,0.0013346759969213079
1221000,0.73,0.0013073484785568257
1246000,0.73,0.0012811175700785588
1271000,0.73,0.0012559185620124975
1296000,0.73,0.00146262661767949
1321000,0.73,0.0014349463258990303
1346000,0.73,0.001408294276755289
1371000,0.73,0.0013826142206510715
1396000,0.73,0.0013578539373299563
1421000,0.73,0.0013339648814304145
1446000,0.73,0.0013109018648081736
1471000,0.73,0.0012886227712526302
1496000,0.73,0.0014176811617655884
1521000,0.73,0.0013943793675222356
1546000,0.73,0.0013718311888753687
1571000,0.73,0.001350000647995748
1596000,0.73,0.0013288540213040854
1621000,0.73,0.0013083596656393091
1646000,0.73,0.0012884878602681168
1671000,0.73,0.001407009292565906
1696000,0.73,0.0013862691791731302
1721000,0.73,0.0013661316257278493
1746000,0.73,0.0013465707490708067
1771000,0.73,0.0013275621275424217
1796000,0.73,0.0013090826992637132
1821000,0.73,0.001291110668796062
1846000,0.73,0.0012736254213854977
1871000,0.73,0.001398238327582776
1896000,0.73,0.0013798016407739313
1921000,0.73,0.0013618448260840053
1946000,0.73,0.0013443493889554851
1971000,0.73,0.0013272977731645732
1996000,0.73,0.0013106733020578026
2021000,0.73,0.0012944601241501109
2046000,0.73,0.0014255986180976535
2071000,0.73,0.0014083895570390144
2096000,0.73,0.0013915910174750947
2121000,0.73,0.001375188483087128
2146000,0.73,0.0013591681139924505
2171000,0.73,0.0013435167077972356
2196000,0.73,0.0013282216633095623
2221000,0.73,0.0013132709467031962
2246000,0.73,0.0013902083041256472
2271000,0.73,0.0013749043817992972
2296000,0.73,0.0013599337330427717
2321000,0.73,0.0013452855885679464
2346000,0.73,0.0013309496381356367
2371000,0.73,0.001316916006354367
2396000,0.73,0.001303175229994242
2421000,0.73,0.0012897182367064039
2446000,0.73,0.001346950938263258
2471000,0.73,0.0013333233488433546
2496000,0.73,0.0013199687479935613
2521000,0.73,0.0013068790142768461
2546000,0.73,0.001294046345244277
2571000,0.73,0.0012814632419260712
2596000,0.73,0.0012691224942187709
2621000,0.73,0.0013428984595321978
2646000,0.73,0.0013302104544345768
2671000,0.73,0.0013177599634720668
2696000,0.73,0.0013055403792410574
2721000,0.73,0.0012935453371679126
2746000,0.73,0.0012817687044551678
2771000,0.73,0.001270204569626088
2796000,0.73,0.001258847232630147
2821000,0.73,0.001318490725733606
2846000,0.73,0.0013069087622257563
2871000,0.73,0.0012955285048047726
2896000,0.73,0.0012843447297287646
2921000,0.73,0.0012733523920898675
2946000,0.73,0.0012625466182262398
2971000,0.73,0.0012519226985171668
2996000,0.73,0.0012926939678574178
21000,0.74,0.007564823365590836
46000,0.74,0.0034535063190740778
71000,0.74,0.0022374829672874305
96000,0.74,0.0016548051112229955
121000,0.74,0.0013129032287389055
146000,0.74,0.00268320748876025
171000,0.74,0.0022909256921578745
196000,0.74,0.00199871578244386
221000,0.74,0.0017726167120316585
246000,0.74,0.0015924727372316932
271000,0.74,0.0014455656581512787
296000,0.74,0.0013234739640506639
321000,0.74,0.0012203996677850359
346000,0.74,0.0018335184237692548
371000,0.74,0.0017099659693373642
396000,0.74,0.0016020135722832377
421000,0.74,0.0015068821249980097
446000,0.74,0.001422415638170767
471000,0.74,0.0013469158696903655
496000,0.74,0.001279026964968069
521000,0.74,0.0012176533102191212
546000,0.74,0.0017222538053507542
571000,0.74,0.0016468486474982692
596000,0.74,0.0015777694257072344
621000,0.74,0.001514252138037861
646000,0.74,0.0014556510491045072
671000,0.74,0.0014014166583032962
696000,0.74,0.0013510784162665398
721000,0.74,0.001715984840517076
746000,0.74,0.0016584786461297746
771000,0.74,0.001604701776929717
796000,0.74,0.0015543028517748891
821000,0.74,0.001506973288687956
846000,0.74,0.0014624409811026145
871000,0.74,0.0014204650631605188
896000,0.74,0.0013808315513535846
921000,0.74,0.0016488554429123243
946000,0.74,0.0016052810390298634
971000,0.74,0.001563950425254635
996000,0.74,0.0015246946414882035
1021000,0.74,0.001487361276123654
1046000,0.74,0.0014518124884533945
1071000,0.74,0.0014179233080506542
1096000,0.74,0.001700944957495572
1121000,0.74,0.001663011305455082
1146000,0.74,0.001626732699315137
1171000,0.74,0.0015920031369898778
1196000,0.74,0.0015587254794441026
1221000,0.74,0.0015268105433375488
1246000,0.74,0.001496176302901402
1271000,0.74,0.0014667471860071966
1296000,0.74,0.0016579085701550155
1321000,0.74,0.0016265325563367904
1346000,0.74,0.001596322070520728
1371000,0.74,0.0015672133529692925
1396000,0.74,0.0015391472112613897
1421000,0.74,0.0015120686185228008
1446000,0.74,0.0014859263533339557
1471000,0.74,0.0014606726763568322
1496000,0.74,0.0016553522348049991
1521000,0.74,0.0016281439469219452
1546000,0.74,0.0016018156166030264
1571000,0.74,0.0015763252344164727
1596000,0.74,0.0015516334231004253
1621000,0.74,0.0015277032345886975
1646000,0.74,0.0015044999655335837
1671000,0.74,0.0016232187074756573
1696000,0.74,0.0015992915449244242
1721000,0.74,0.0015760595352654408
1746000,0.74,0.0015534928179792803
1771000,0.74,0.0015315632186289235
1796000,0.74,0.001510244131509924
1821000,0.74,0.0014895104119669541
1846000,0.74,0.0014693382774603595
1871000,0.74,0.0015649024662257602
1896000,0.74,0.0015442682037491546
1921000,0.74,0.0015241710121334706
1946000,0.74,0.0015045901923475833
1971000,0.74,0.0014855060955395218
1996000,0.74,0.0014669000572687361
2021000,0.74,0.0014487543366196918
2046000,0.74,0.0015722077383871149
2071000,0.74,0.0015532288907484488
2096000,0.74,0.0015347027827958193
2121000,0.74,0.0015166134053465523
2146000,0.74,0.0014989454952190296
2171000,0.74,0.0014816844922800724
2196000,0.74,0.0014648164994262465
2221000,0.74,0.0014483282452679143
2246000,0.74,0.001534572390778909
2271000,0.74,0.001517679255697679
2296000,0.74,0.0015011540024779744
2321000,0.74,0.0014849847435111716
2346000,0.74,0.0014691600979068326
2371000,0.74,0.0014536691647783337
2396000,0.74,0.0014385014982009306
2421000,0.74,0.001423647083721367
2446000,0.74,0.0015066264342013778
2471000,0.74,0.001491383350083598
2496000,0.74,0.0014764456162085619
2521000,0.74,0.0014618041483762676
2546000,0.74,0.0014474502191895405
2571000,0.74,0.001433375440706562
2596000,0.74,0.0014195717480957513
2621000,0.74,0.001466255952308392
2646000,0.74,0.0014524024380197641
2671000,0.74,0.0014388082557095828
2696000,0.74,0.0014254661910238484
2721000,0.74,0.0014123692947446878
2746000,0.74,0.0013995108707211565
2771000,0.74,0.0013868844644533726
2796000,0.74,0.00137448385228909
2821000,0.74,0.0014380435914835912
2846000,0.74,0.0014254114446855973
2871000,0.74,0.0014129992934779558
2896000,0.74,0.0014008014404610532
2921000,0.74,0.0013888123832849059
2946000,0.74,0.0013770268063731195
2971000,0.74,0.0013654395730646955
2996000,0.74,0.0014165450479835327
21000,0.75,0.01158928384594078
46000,0.75,0.005290760016625139
71000,0.75,0.0034278163487993854
96000,0.75,0.0025351558412995455
121000,0.75,0.0020113633121054244
146000,0.75,0.0035111247893677105
171000,0.75,0.002997802451740852
196000,0.75,0.002615429690039213
221000,0.75,0.002319566602930705
246000,0.75,0.002083838289624739
271000,0.75,0.0018916022850468108
296000,0.75,0.0017318385785394788
321000,0.75,0.0015969601845722298
346000,0.75,0.002272485409770727
371000,0.75,0.0021193529697592227
396000,0.75,0.001985555433789575
421000,0.75,0.0018676483415217854
446000,0.75,0.0017629595331405193
471000,0.75,0.0016693841863708527
496000,0.75,0.001585241838267483
521000,0.75,0.0015091745715559916
546000,0.75,0.0020731456017435857
571000,0.75,0.001982377405520136
596000,0.75,0.001899223990859057
621000,0.75,0.0018227656981513653
646000,0.75,0.001752225229956653
671000,0.75,0.0016869411304798775
696000,0.75,0.001626346980678158
721000,0.75,0.002000363558523697
746000,0.75,0.0019333272462407312
771000,0.75,0.0018706382953250136
796000,0.75,0.0018118870925823939
821000,0.75,0.0017567139168033928
846000,0.75,0.0017048015670160584
871000,0.75,0.001655869260270477
896000,0.75,0.0016096675509995372
921000,0.75,0.0019168750771974578
946000,0.75,0.0018662177020072502
971000,0.75,0.0018181688425322952
996000,0.75,0.0017725320743964446
1021000,0.75,0.0017291302116541221
1046000,0.75,0.0016878030077426948
1071000,0.75,0.001648405178430307
1096000,0.75,0.0019465988905236573
1121000,0.75,0.0019031867832416845
1146000,0.75,0.0018616687469580526
1171000,0.75,0.0018219234705498964
1196000,0.75,0.0017838397859648231
1221000,0.75,0.0017473156298230372
1246000,0.75,0.0017122571300272299
1271000,0.75,0.0016785778001683152
1296000,0.75,0.0019394296636666402
1321000,0.75,0.0019027258471702995
1346000,0.75,0.001867385471108444
1371000,0.75,0.001833333949024045
1396000,0.75,0.0018005020373294883
1421000,0.75,0.001768825365314543
1446000,0.75,0.0017382440139086899
1471000,0.75,0.0017087021373976654
1496000,0.75,0.0018821619083848416
1521000,0.75,0.0018512256508505741
1546000,0.75,0.001821289919109782
1571000,0.75,0.001792306947768124
1596000,0.75,0.001764231964250453
1621000,0.75,0.0017370229580158689
1646000,0.75,0.001710640470804206
1671000,0.75,0.0018082291242211767
1696000,0.75,0.0017815748034042372
1721000,0.75,0.0017556948672711133
1746000,0.75,0.0017305560518749061
1771000,0.75,0.0017061269715265876
1796000,0.75,0.0016823779880699254
1821000,0.75,0.0016592810909245392
1846000,0.75,0.0016368097868762655
1871000,0.75,0.0017272180842599913
1896000,0.75,0.0017044435842038204
1921000,0.75,0.001682261861348487
1946000,0.75,0.0016606500697073192
1971000,0.75,0.001639586522400022
1996000,0.75,0.0016190506190633485
2021000,0.75,0.001599022778649403
2046000,0.75,0.0017680832205346014
2071000,0.75,0.001746739869248573
2096000,0.75,0.0017259056627928408
2121000,0.75,0.001705562597460535
2146000,0.75,0.0016856935084873226
2171000,0.75,0.0016662820217474869
2196000,0.75,0.0016473125087494512
2221000,0.75,0.0016287700446707765
2246000,0.75,0.0016974203409005652
2271000,0.75,0.0016787345159236765
2296000,0.75,0.001660455612222417
2321000,0.75,0.001642570480681891
2346000,0.75,0.0016250665326780346
2371000,0.75,0.0016079317105283295
2396000,0.75,0.0015911544597924329
2421000,0.75,0.001574723703289
2446000,0.75,0.0016413200107903677
2471000,0.75,0.0016247141830810356
2496000,0.75,0.0016084410041639582
2521000,0.75,0.0015924905777045775
2546000,0.75,0.0015768533960696146
2571000,0.75,0.00156152032142872
2596000,0.75,0.001546482567948089
2621000,0.75,0.0016149327305303766
2646000,0.75,0.001599674484777066
2671000,0.75,0.0015847018669861912
2696000,0.75,0.0015700069312760078
2721000,0.75,0.0015555820237854161
2746000,0.75,0.0015414197693809602
2771000,0.75,0.0015275130590834056
2796000,0.75,0.0015138550381688545
2821000,0.75,0.0015626184829735954
2846000,0.75,0.0015488920381126186
2871000,0.75,0.0015354046466278344
2896000,0.75,0.001522150117565094
2921000,0.75,0.0015091224719166424
2946000,0.75,0.001496315933628144
2971000,0.75,0.0014837249210597483
2996000,0.75,0.0015440030132926447
21000,0.76,0.015943699346110018
46000,0.76,0.007278645353658922
71000,0.76,0.004715742060117047
96000,0.76,0.0034876842319615663
121000,0.76,0.0027670883162670278
146000,0.76,0.004443389317086572
171000,0.76,0.0037937709958750856
196000,0.76,0.0033098716341563245
221000,0.76,0.0029354517660390936
246000,0.76,0.0026371334971326816
271000,0.76,0.0023938554992422125
296000,0.76,0.0021916717577521606
321000,0.76,0.002020980810886728
346000,0.76,0.0028115412671679612
